ID,Name,NOC,Year,Season,Sport,Event,Medal
923,Olapade Charles Adeniken,NGR,1992,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
925,Adenzia Aparecida Ferreira da Silva,BRA,2012,Summer,Volleyball,Volleyball Women's Volleyball,Gold
953,Franck Adisson,FRA,1992,Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
953,Franck Adisson,FRA,1996,Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
956,"Richard ""Richy""  Adjei",GER,2010,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
957,Sammi Adjei,GHA,1992,Summer,Football,Football Men's Football,Bronze
962,"Charles ""Chuck"" Adkins",USA,1952,Summer,Boxing,Boxing Men's Light-Welterweight,Gold
963,Derrick Ralph Adkins,USA,1996,Summer,Athletics,Athletics Men's 400 metres Hurdles,Gold
964,"Robert Edward ""Bob"" Adlard",GBR,1948,Summer,Hockey,Hockey Men's Hockey,Silver
966,Daniel Adler,BRA,1984,Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
967,Egon Adler,GER,1960,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
968,"Margarete ""Grete"" Adler",AUT,1912,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
973,Gregor Nils Henric Adlercreutz,SWE,1936,Summer,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
974,Nils August Domingo Adlercreutz,SWE,1912,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
975,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),SWE,1908,Summer,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
977,Erik William Adlerz,SWE,1912,Summer,Diving,Diving Men's Platform,Gold
977,Erik William Adlerz,SWE,1912,Summer,Diving,Diving Men's Plain High,Gold
977,Erik William Adlerz,SWE,1920,Summer,Diving,Diving Men's Platform,Silver
980,"Rebecca ""Becky"" Adlington",GBR,2008,Summer,Swimming,Swimming Women's 400 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",GBR,2008,Summer,Swimming,Swimming Women's 800 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",GBR,2012,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze
980,"Rebecca ""Becky"" Adlington",GBR,2012,Summer,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1000,Dainius Adomaitis,LTU,2000,Summer,Basketball,Basketball Men's Basketball,Bronze
1017,Nathan Ghar-Jun Adrian,USA,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,Nathan Ghar-Jun Adrian,USA,2012,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold
1017,Nathan Ghar-Jun Adrian,USA,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1017,Nathan Ghar-Jun Adrian,USA,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1017,Nathan Ghar-Jun Adrian,USA,2016,Summer,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,USA,2016,Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,USA,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,Nathan Ghar-Jun Adrian,USA,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1020,Adriana Aparecida dos Santos,BRA,1996,Summer,Basketball,Basketball Women's Basketball,Silver
1020,Adriana Aparecida dos Santos,BRA,2000,Summer,Basketball,Basketball Women's Basketball,Bronze
1023,"Adriana ""Adrianinha"" Moiss Pinto",BRA,2000,Summer,Basketball,Basketball Women's Basketball,Bronze
